t1      ,ch1     ,t2      ,ch2     
  -0.832,   -0.008,   -0.832,   -0.004
   1.152,   -0.009,    1.152,    0.002
   3.136,   -0.009,    3.136,    0.010
   5.120,   -0.009,    5.120,    0.014
   7.104,   -0.008,    7.104,    0.021
   9.088,   -0.008,    9.088,    0.028
  11.072,   -0.008,   11.072,    0.033
  13.056,   -0.009,   13.056,    0.039
  15.040,   -0.009,   15.040,    0.045
  17.024,   -0.009,   17.024,    0.053
  19.008,   -0.008,   19.008,    0.057
  20.992,   -0.008,   20.992,    0.062
  22.976,   -0.008,   22.976,    0.070
  24.960,   -0.008,   24.960,    0.076
  26.944,   -0.010,   26.944,    0.082
  28.928,   -0.008,   28.928,    0.086
  30.912,   -0.008,   30.912,    0.093
  32.896,   -0.008,   32.896,    0.099
  34.880,   -0.009,   34.880,    0.105
  36.864,   -0.009,   36.864,    0.111
  38.848,   -0.008,   38.848,    0.117
  40.832,   -0.008,   40.832,    0.121
  42.816,   -0.010,   42.816,    0.129
  44.800,   -0.009,   44.800,    0.134
  46.784,   -0.009,   46.784,    0.139
  48.768,   -0.007,   48.768,    0.145
  50.752,   -0.008,   50.752,    0.151
  52.736,   -0.008,   52.736,    0.156
  54.720,   -0.009,   54.720,    0.163
  56.704,   -0.008,   56.704,    0.168
  58.688,   -0.008,   58.688,    0.174
  60.672,   -0.009,   60.672,    0.179
  62.656,   -0.008,   62.656,    0.186
  64.640,   -0.009,   64.640,    0.191
  66.624,   -0.009,   66.624,    0.196
  68.608,   -0.009,   68.608,    0.201
  70.592,   -0.008,   70.592,    0.208
  72.576,   -0.007,   72.576,    0.211
  74.560,   -0.009,   74.560,    0.218
  76.544,   -0.008,   76.544,    0.223
  78.528,   -0.007,   78.528,    0.229
  80.512,   -0.008,   80.512,    0.232
  82.496,   -0.008,   82.496,    0.239
  84.480,   -0.009,   84.480,    0.243
  86.464,   -0.008,   86.464,    0.250
  88.448,   -0.008,   88.448,    0.255
  90.432,   -0.008,   90.432,    0.261
  92.416,   -0.009,   92.416,    0.264
  94.400,   -0.008,   94.400,    0.271
  96.384,   -0.008,   96.384,    0.275
  98.368,   -0.008,   98.368,    0.280
 100.352,   -0.008,  100.352,    0.286
 102.336,   -0.008,  102.336,    0.291
 104.320,   -0.007,  104.320,    0.295
 106.304,   -0.009,  106.304,    0.298
 108.288,   -0.009,  108.288,    0.305
 110.272,   -0.010,  110.272,    0.309
 112.256,   -0.009,  112.256,    0.313
 114.240,   -0.007,  114.240,    0.319
 116.224,   -0.009,  116.224,    0.323
 118.208,   -0.011,  118.208,    0.326
 120.192,   -0.009,  120.192,    0.334
 122.176,   -0.009,  122.176,    0.337
 124.160,   -0.008,  124.160,    0.341
 126.144,   -0.009,  126.144,    0.345
 128.128,   -0.008,  128.128,    0.349
 130.112,   -0.009,  130.112,    0.354
 132.096,   -0.007,  132.096,    0.358
 134.080,   -0.008,  134.080,    0.361
 136.064,   -0.008,  136.064,    0.366
 138.048,   -0.008,  138.048,    0.370
 140.032,   -0.008,  140.032,    0.374
 142.016,   -0.008,  142.016,    0.377
 144.000,   -0.008,  144.000,    0.382
 145.984,   -0.009,  145.984,    0.386
 147.968,   -0.009,  147.968,    0.389
 149.952,   -0.009,  149.952,    0.392
 151.936,   -0.008,  151.936,    0.396
 153.920,   -0.009,  153.920,    0.399
 155.904,   -0.007,  155.904,    0.403
 157.888,   -0.009,  157.888,    0.405
 159.872,   -0.009,  159.872,    0.409
 161.856,   -0.009,  161.856,    0.414
 163.840,   -0.009,  163.840,    0.417
 165.824,   -0.009,  165.824,    0.418
 167.808,   -0.009,  167.808,    0.422
 169.792,   -0.008,  169.792,    0.426
 171.776,   -0.009,  171.776,    0.429
 173.760,   -0.010,  173.760,    0.429
 175.744,   -0.009,  175.744,    0.435
 177.728,   -0.008,  177.728,    0.436
 179.712,   -0.008,  179.712,    0.440
 181.696,   -0.009,  181.696,    0.441
 183.680,   -0.008,  183.680,    0.446
 185.664,   -0.008,  185.664,    0.447
 187.648,   -0.008,  187.648,    0.449
 189.632,   -0.008,  189.632,    0.452
 191.616,   -0.008,  191.616,    0.456
 193.600,   -0.008,  193.600,    0.459
 195.584,   -0.007,  195.584,    0.459
 197.568,   -0.007,  197.568,    0.460
 199.552,   -0.009,  199.552,    0.464
 201.536,   -0.009,  201.536,    0.465
 203.520,   -0.009,  203.520,    0.466
 205.504,   -0.009,  205.504,    0.468
 207.488,   -0.008,  207.488,    0.471
 209.472,   -0.008,  209.472,    0.474
 211.456,   -0.009,  211.456,    0.472
 213.440,   -0.009,  213.440,    0.476
 215.424,   -0.008,  215.424,    0.477
 217.408,   -0.008,  217.408,    0.479
 219.392,   -0.007,  219.392,    0.479
 221.376,   -0.009,  221.376,    0.482
 223.360,   -0.009,  223.360,    0.484
 225.344,   -0.009,  225.344,    0.483
 227.328,   -0.008,  227.328,    0.485
 229.312,   -0.009,  229.312,    0.486
 231.296,   -0.009,  231.296,    0.487
