t1      ,ch1     ,t2      ,ch2     
   0.000,   -0.001,    0.000,   -0.009
   0.128,    0.003,    0.128,   -0.008
   0.256,    0.008,    0.256,   -0.009
   0.384,    0.010,    0.384,   -0.008
   0.512,    0.015,    0.512,   -0.008
   0.640,    0.019,    0.640,   -0.009
   0.768,    0.019,    0.768,   -0.008
   0.896,    0.023,    0.896,   -0.008
   1.024,    0.025,    1.024,   -0.007
   1.152,    0.029,    1.152,   -0.009
   1.280,    0.033,    1.280,   -0.008
   1.408,    0.035,    1.408,   -0.008
   1.536,    0.037,    1.536,   -0.008
   1.664,    0.041,    1.664,   -0.008
   1.792,    0.045,    1.792,   -0.009
   1.920,    0.048,    1.920,   -0.008
   2.048,    0.052,    2.048,   -0.008
   2.176,    0.054,    2.176,   -0.009
   2.304,    0.058,    2.304,   -0.009
   2.432,    0.062,    2.432,   -0.008
   2.560,    0.064,    2.560,   -0.009
   2.688,    0.066,    2.688,   -0.009
   2.816,    0.070,    2.816,   -0.009
   2.944,    0.072,    2.944,   -0.007
   3.072,    0.076,    3.072,   -0.009
   3.200,    0.079,    3.200,   -0.008
   3.328,    0.083,    3.328,   -0.009
   3.456,    0.086,    3.456,   -0.007
   3.584,    0.089,    3.584,   -0.009
   3.712,    0.092,    3.712,   -0.010
   3.840,    0.095,    3.840,   -0.009
   3.968,    0.097,    3.968,   -0.008
   4.096,    0.102,    4.096,   -0.009
   4.224,    0.104,    4.224,   -0.009
   4.352,    0.108,    4.352,   -0.009
   4.480,    0.112,    4.480,   -0.009
   4.608,    0.114,    4.608,   -0.008
   4.736,    0.117,    4.736,   -0.008
   4.864,    0.120,    4.864,   -0.010
   4.992,    0.124,    4.992,   -0.008
   5.120,    0.127,    5.120,   -0.008
   5.248,    0.128,    5.248,   -0.009
   5.376,    0.132,    5.376,   -0.009
   5.504,    0.135,    5.504,   -0.009
   5.632,    0.137,    5.632,   -0.008
   5.760,    0.140,    5.760,   -0.010
   5.888,    0.143,    5.888,   -0.008
   6.016,    0.148,    6.016,   -0.009
   6.144,    0.151,    6.144,   -0.011
   6.272,    0.152,    6.272,   -0.008
   6.400,    0.157,    6.400,   -0.009
   6.528,    0.159,    6.528,   -0.009
   6.656,    0.162,    6.656,   -0.009
   6.784,    0.165,    6.784,   -0.009
   6.912,    0.168,    6.912,   -0.010
   7.040,    0.171,    7.040,   -0.008
   7.168,    0.174,    7.168,   -0.009
   7.296,    0.178,    7.296,   -0.009
   7.424,    0.181,    7.424,   -0.010
   7.552,    0.182,    7.552,   -0.010
   7.680,    0.188,    7.680,   -0.009
   7.808,    0.189,    7.808,   -0.008
   7.936,    0.192,    7.936,   -0.008
   8.064,    0.196,    8.064,   -0.009
   8.192,    0.199,    8.192,   -0.009
   8.320,    0.202,    8.320,   -0.008
   8.448,    0.204,    8.448,   -0.010
   8.576,    0.207,    8.576,   -0.008
   8.704,    0.211,    8.704,   -0.009
   8.832,    0.213,    8.832,   -0.009
   8.960,    0.215,    8.960,   -0.009
   9.088,    0.218,    9.088,   -0.010
   9.216,    0.223,    9.216,   -0.009
   9.344,    0.225,    9.344,   -0.009
   9.472,    0.227,    9.472,   -0.008
   9.600,    0.228,    9.600,   -0.010
   9.728,    0.233,    9.728,   -0.008
   9.856,    0.237,    9.856,   -0.009
   9.984,    0.240,    9.984,   -0.008
  10.112,    0.241,   10.112,   -0.008
  10.240,    0.243,   10.240,   -0.009
  10.368,    0.248,   10.368,   -0.009
  10.496,    0.247,   10.496,   -0.009
  10.624,    0.252,   10.624,   -0.009
  10.752,    0.255,   10.752,   -0.008
  10.880,    0.258,   10.880,   -0.009
  11.008,    0.260,   11.008,   -0.006
  11.136,    0.264,   11.136,   -0.008
  11.264,    0.266,   11.264,   -0.009
  11.392,    0.270,   11.392,   -0.008
  11.520,    0.273,   11.520,   -0.009
  11.648,    0.274,   11.648,   -0.009
  11.776,    0.277,   11.776,   -0.009
  11.904,    0.280,   11.904,   -0.008
  12.032,    0.284,   12.032,   -0.008
  12.160,    0.286,   12.160,   -0.009
  12.288,    0.288,   12.288,   -0.007
  12.416,    0.291,   12.416,   -0.008
  12.544,    0.293,   12.544,   -0.009
  12.672,    0.295,   12.672,   -0.008
  12.800,    0.297,   12.800,   -0.008
  12.928,    0.301,   12.928,   -0.008
  13.056,    0.302,   13.056,   -0.008
  13.184,    0.307,   13.184,   -0.008
  13.312,    0.310,   13.312,   -0.008
  13.440,    0.311,   13.440,   -0.007
  13.568,    0.313,   13.568,   -0.008
  13.696,    0.317,   13.696,   -0.007
  13.824,    0.319,   13.824,   -0.007
  13.952,    0.321,   13.952,   -0.007
  14.080,    0.324,   14.080,   -0.008
  14.208,    0.327,   14.208,   -0.009
  14.336,    0.330,   14.336,   -0.007
  14.464,    0.333,   14.464,   -0.008
  14.592,    0.333,   14.592,   -0.006
  14.720,    0.335,   14.720,   -0.007
  14.848,    0.337,   14.848,   -0.007
  14.976,    0.342,   14.976,   -0.008
  15.104,    0.344,   15.104,   -0.009
  15.232,    0.346,   15.232,   -0.007
  15.360,    0.348,   15.360,   -0.008
  15.488,    0.350,   15.488,   -0.007
  15.616,    0.353,   15.616,   -0.009
  15.744,    0.353,   15.744,   -0.007
  15.872,    0.358,   15.872,   -0.008
  16.000,    0.359,   16.000,   -0.007
  16.128,    0.363,   16.128,   -0.006
  16.256,    0.365,   16.256,   -0.008
  16.384,    0.366,   16.384,   -0.008
  16.512,    0.369,   16.512,   -0.008
  16.640,    0.371,   16.640,   -0.009
  16.768,    0.373,   16.768,   -0.009
  16.896,    0.374,   16.896,   -0.007
  17.024,    0.379,   17.024,   -0.007
  17.152,    0.382,   17.152,   -0.007
  17.280,    0.384,   17.280,   -0.008
  17.408,    0.384,   17.408,   -0.008
  17.536,    0.385,   17.536,   -0.007
  17.664,    0.388,   17.664,   -0.008
  17.792,    0.392,   17.792,   -0.007
  17.920,    0.394,   17.920,   -0.008
  18.048,    0.394,   18.048,   -0.008
  18.176,    0.395,   18.176,   -0.007
  18.304,    0.399,   18.304,   -0.007
  18.432,    0.403,   18.432,   -0.008
  18.560,    0.403,   18.560,   -0.007
  18.688,    0.405,   18.688,   -0.007
  18.816,    0.408,   18.816,   -0.008
  18.944,    0.410,   18.944,   -0.007
  19.072,    0.409,   19.072,   -0.009
  19.200,    0.413,   19.200,   -0.007
  19.328,    0.415,   19.328,   -0.006
  19.456,    0.417,   19.456,   -0.009
  19.584,    0.417,   19.584,   -0.008
  19.712,    0.420,   19.712,   -0.006
  19.840,    0.423,   19.840,   -0.007
  19.968,    0.425,   19.968,   -0.008
  20.096,    0.426,   20.096,   -0.008
  20.224,    0.428,   20.224,   -0.007
  20.352,    0.430,   20.352,   -0.009
  20.480,    0.432,   20.480,   -0.008
  20.608,    0.433,   20.608,   -0.008
  20.736,    0.435,   20.736,   -0.008
  20.864,    0.438,   20.864,   -0.007
  20.992,    0.438,   20.992,   -0.009
  21.120,    0.439,   21.120,   -0.007
  21.248,    0.440,   21.248,   -0.008
  21.376,    0.444,   21.376,   -0.008
  21.504,    0.447,   21.504,   -0.008
  21.632,    0.446,   21.632,   -0.007
  21.760,    0.448,   21.760,   -0.007
  21.888,    0.448,   21.888,   -0.008
  22.016,    0.452,   22.016,   -0.009
  22.144,    0.454,   22.144,   -0.009
  22.272,    0.455,   22.272,   -0.008
  22.400,    0.456,   22.400,   -0.008
  22.528,    0.457,   22.528,   -0.007
  22.656,    0.460,   22.656,   -0.007
  22.784,    0.462,   22.784,   -0.009
  22.912,    0.463,   22.912,   -0.009
  23.040,    0.464,   23.040,   -0.008
  23.168,    0.466,   23.168,   -0.008
  23.296,    0.467,   23.296,   -0.009
  23.424,    0.468,   23.424,   -0.009
  23.552,    0.468,   23.552,   -0.010
  23.680,    0.471,   23.680,   -0.009
  23.808,    0.473,   23.808,   -0.008
  23.936,    0.473,   23.936,   -0.010
  24.064,    0.474,   24.064,   -0.008
  24.192,    0.474,   24.192,   -0.009
  24.320,    0.478,   24.320,   -0.009
  24.448,    0.478,   24.448,   -0.008
  24.576,    0.478,   24.576,   -0.009
  24.704,    0.479,   24.704,   -0.009
  24.832,    0.481,   24.832,   -0.008
  24.960,    0.482,   24.960,   -0.009
  25.088,    0.484,   25.088,   -0.010
  25.216,    0.485,   25.216,   -0.008
  25.344,    0.486,   25.344,   -0.008
  25.472,    0.487,   25.472,   -0.009
  25.600,    0.489,   25.600,   -0.009
  25.728,    0.490,   25.728,   -0.008
  25.856,    0.490,   25.856,   -0.009
  25.984,    0.490,   25.984,   -0.009
  26.112,    0.493,   26.112,   -0.008
  26.240,    0.493,   26.240,   -0.008
  26.368,    0.495,   26.368,   -0.009
  26.496,    0.497,   26.496,   -0.009
  26.624,    0.496,   26.624,   -0.010
  26.752,    0.497,   26.752,   -0.008
  26.880,    0.498,   26.880,   -0.009
  27.008,    0.500,   27.008,   -0.009
  27.136,    0.500,   27.136,   -0.009
  27.264,    0.500,   27.264,   -0.008
  27.392,    0.502,   27.392,   -0.008
  27.520,    0.501,   27.520,   -0.009
  27.648,    0.504,   27.648,   -0.009
  27.776,    0.505,   27.776,   -0.009
  27.904,    0.505,   27.904,   -0.009
  28.032,    0.506,   28.032,   -0.008
  28.160,    0.505,   28.160,   -0.009
  28.288,    0.507,   28.288,   -0.009
  28.416,    0.507,   28.416,   -0.008
  28.544,    0.510,   28.544,   -0.009
  28.672,    0.508,   28.672,   -0.009
  28.800,    0.510,   28.800,   -0.009
  28.928,    0.511,   28.928,   -0.008
  29.056,    0.511,   29.056,   -0.008
  29.184,    0.512,   29.184,   -0.009
  29.312,    0.514,   29.312,   -0.009
  29.440,    0.512,   29.440,   -0.010
  29.568,    0.512,   29.568,   -0.009
  29.696,    0.514,   29.696,   -0.009
  29.824,    0.515,   29.824,   -0.009
  29.952,    0.515,   29.952,   -0.009
  30.080,    0.516,   30.080,   -0.008
  30.208,    0.515,   30.208,   -0.009
  30.336,    0.518,   30.336,   -0.008
  30.464,    0.518,   30.464,   -0.009
  30.592,    0.517,   30.592,   -0.009
  30.720,    0.516,   30.720,   -0.008
  30.848,    0.517,   30.848,   -0.010
  30.976,    0.517,   30.976,   -0.008
  31.104,    0.518,   31.104,   -0.009
  31.232,    0.518,   31.232,   -0.009
  31.360,    0.518,   31.360,   -0.009
  31.488,    0.518,   31.488,   -0.008
  31.616,    0.518,   31.616,   -0.008
  31.744,    0.520,   31.744,   -0.009
  31.872,    0.520,   31.872,   -0.008
  32.000,    0.520,   32.000,   -0.009
  32.128,    0.520,   32.128,   -0.009
  32.256,    0.517,   32.256,   -0.009
  32.384,    0.522,   32.384,   -0.009
  32.512,    0.521,   32.512,   -0.009
  32.640,    0.521,   32.640,   -0.009
  32.768,    0.519,   32.768,   -0.009
  32.896,    0.520,   32.896,   -0.009
  33.024,    0.520,   33.024,   -0.009
  33.152,    0.519,   33.152,   -0.009
  33.280,    0.520,   33.280,   -0.008
  33.408,    0.519,   33.408,   -0.008
  33.536,    0.519,   33.536,   -0.007
  33.664,    0.518,   33.664,   -0.007
  33.792,    0.520,   33.792,   -0.008
  33.920,    0.519,   33.920,   -0.009
  34.048,    0.520,   34.048,   -0.008
  34.176,    0.518,   34.176,   -0.010
  34.304,    0.518,   34.304,   -0.008
  34.432,    0.517,   34.432,   -0.008
  34.560,    0.518,   34.560,   -0.008
  34.688,    0.519,   34.688,   -0.008
  34.816,    0.519,   34.816,   -0.008
  34.944,    0.516,   34.944,   -0.009
  35.072,    0.516,   35.072,   -0.009
  35.200,    0.517,   35.200,   -0.007
  35.328,    0.515,   35.328,   -0.008
  35.456,    0.516,   35.456,   -0.008
  35.584,    0.515,   35.584,   -0.007
  35.712,    0.514,   35.712,   -0.010
  35.840,    0.514,   35.840,   -0.008
  35.968,    0.514,   35.968,   -0.008
  36.096,    0.514,   36.096,   -0.008
  36.224,    0.514,   36.224,   -0.009
  36.352,    0.511,   36.352,   -0.008
  36.480,    0.512,   36.480,   -0.008
  36.608,    0.510,   36.608,   -0.008
  36.736,    0.510,   36.736,   -0.009
  36.864,    0.509,   36.864,   -0.008
  36.992,    0.511,   36.992,   -0.008
  37.120,    0.510,   37.120,   -0.009
  37.248,    0.509,   37.248,   -0.008
  37.376,    0.507,   37.376,   -0.007
  37.504,    0.507,   37.504,   -0.008
  37.632,    0.507,   37.632,   -0.008
